Meter;Tee;Fairway;Rough;Sand;Recovery
197;3,16;3,29;3,5;3,66;3,91
198;3,16;3,29;3,51;3,67;3,91
199;3,17;3,31;3,52;3,69;3,92
200;3,17;3,31;3,52;3,69;3,92
201;3,17;3,32;3,53;3,7;3,92
202;3,17;3,33;3,54;3,71;3,92
203;3,18;3,33;3,54;3,71;3,93
204;3,18;3,34;3,55;3,72;3,93
205;3,19;3,35;3,55;3,73;3,93
206;3,19;3,35;3,56;3,74;3,93
207;3,19;3,36;3,56;3,74;3,94
208;3,2;3,37;3,57;3,75;3,94
209;3,21;3,38;3,58;3,76;3,94
210;3,21;3,39;3,59;3,77;3,95
211;3,21;3,39;3,59;3,78;3,95
212;3,22;3,4;3,6;3,78;3,95
213;3,22;3,4;3,6;3,79;3,95
214;3,23;3,41;3,61;3,8;3,96
215;3,23;3,42;3,61;3,81;3,96
216;3,23;3,42;3,62;3,81;3,96
217;3,24;3,43;3,62;3,82;3,96
218;3,24;3,44;3,63;3,83;3,97
219;3,25;3,44;3,64;3,83;3,97
220;3,26;3,46;3,65;3,84;3,97
221;3,27;3,46;3,65;3,85;3,98
222;3,28;3,47;3,66;3,85;3,98
223;3,29;3,48;3,66;3,86;3,98
224;3,3;3,48;3,67;3,86;3,99
225;3,31;3,49;3,67;3,87;3,99
226;3,32;3,5;3,68;3,87;3,99
227;3,33;3,5;3,68;3,88;3,99
228;3,34;3,51;3,69;3,88;4
229;3,35;3,52;3,69;3,89;4
230;3,36;3,52;3,7;3,89;4
231;3,38;3,53;3,71;3,9;4,01
232;3,39;3,54;3,71;3,9;4,01
233;3,4;3,55;3,72;3,91;4,02
234;3,41;3,55;3,72;3,91;4,02
235;3,42;3,56;3,73;3,92;4,02
236;3,43;3,57;3,73;3,92;4,02
237;3,44;3,57;3,74;3,93;4,03
238;3,45;3,58;3,74;3,93;4,03
239;3,46;3,59;3,74;3,93;4,03
240;3,47;3,59;3,75;3,94;4,04
241;3,49;3,6;3,76;3,94;4,04
242;3,5;3,61;3,76;3,95;4,05
243;3,51;3,61;3,77;3,95;4,05
244;3,52;3,62;3,77;3,95;4,05
245;3,53;3,62;3,78;3,96;4,06
246;3,54;3,63;3,78;3,96;4,06
247;3,55;3,64;3,79;3,97;4,07
248;3,56;3,64;3,79;3,97;4,07
249;3,57;3,65;3,79;3,97;4,07
250;3,58;3,65;3,8;3,98;4,08
251;3,59;3,66;3,8;3,98;4,08
252;3,61;3,67;3,81;3,99;4,09
253;3,62;3,67;3,82;3,99;4,09
254;3,63;3,68;3,82;3,99;4,09
255;3,64;3,68;3,83;4;4,1
256;3,65;3,69;3,83;4;4,1
257;3,65;3,69;3,83;4;4,11
258;3,66;3,7;3,84;4;4,11
259;3,66;3,7;3,84;4,01;4,12
260;3,66;3,71;3,84;4,01;4,12
261;3,67;3,71;3,85;4,01;4,13
262;3,67;3,72;3,85;4,01;4,13
263;3,67;3,73;3,86;4,02;4,14
264;3,68;3,73;3,86;4,02;4,15
265;3,68;3,74;3,87;4,02;4,15
266;3,68;3,74;3,87;4,02;4,16
267;3,69;3,74;3,87;4,02;4,16
268;3,69;3,75;3,88;4,03;4,17
269;3,69;3,75;3,88;4,03;4,17
270;3,7;3,76;3,88;4,03;4,18
271;3,7;3,76;3,89;4,03;4,18
272;3,7;3,77;3,89;4,03;4,19
273;3,71;3,78;3,9;4,04;4,2
274;3,71;3,78;3,9;4,04;4,2
275;3,71;3,78;3,9;4,04;4,21
276;3,72;3,79;3,91;4,05;4,21
277;3,72;3,79;3,91;4,05;4,22
278;3,73;3,79;3,91;4,06;4,22
279;3,73;3,8;3,91;4,06;4,23
280;3,73;3,8;3,92;4,06;4,23
281;3,74;3,8;3,92;4,07;4,24
282;3,74;3,8;3,92;4,07;4,24
283;3,75;3,81;3,92;4,08;4,25
284;3,75;3,81;3,93;4,08;4,26
285;3,76;3,82;3,93;4,09;4,27
286;3,76;3,82;3,93;4,09;4,27
287;3,77;3,82;3,94;4,1;4,28
288;3,77;3,83;3,94;4,1;4,28
289;3,77;3,83;3,94;4,1;4,29
290;3,78;3,83;3,94;4,11;4,29
291;3,78;3,83;3,95;4,11;4,3
292;3,79;3,84;3,95;4,12;4,3
293;3,79;3,84;3,95;4,12;4,31
294;3,79;3,84;3,95;4,13;4,32
295;3,8;3,85;3,96;4,14;4,33
296;3,8;3,85;3,96;4,15;4,34
297;3,81;3,85;3,97;4,16;4,34
298;3,81;3,85;3,97;4,16;4,35
299;3,81;3,85;3,97;4,17;4,36
300;3,82;3,86;3,98;4,18;4,36
310;3,86;3,88;4,02;4,25;4,43
320;3,89;3,92;4,07;4,34;4,5
330;3,92;3,95;4,12;4,42;4,57
340;3,94;4;4,17;4,49;4,62
